,Experiment,Direction,Variables,# Objectives,Solution approach,Instance,# Variables,# Constraints,Objective value,Relative gap,Solve time (s),Error
168,4,Max,Continuous,2,N-O-100,1600-1600-4.lp,1600,1600,405531572.401,0,186.89,
169,4,Max,Continuous,2,N-O-100,1600-1600-5.lp,1600,1600,426042981.222592,0,158.52,
170,4,Max,Continuous,2,N-O-100,1600-2400.0-1.lp,1600,2400,296073249.18639,0,736.68,
171,4,Max,Continuous,2,N-O-100,1600-2400.0-2.lp,1600,2400,345519630.17479,0,171.9,
172,4,Max,Continuous,2,N-O-100,1600-2400.0-3.lp,1600,2400,316910735.908279,0,342.81,
173,4,Max,Continuous,2,N-O-100,1600-2400.0-4.lp,1600,2400,309641443.6689,0,390.14,
174,4,Max,Continuous,2,N-O-100,1600-2400.0-5.lp,1600,2400,308428598.292749,0,654.83,
175,4,Max,Continuous,2,N-O-100,1600-3200-1.lp,1600,3200,206738274.142563,0,342.91,
176,4,Max,Continuous,2,N-O-100,1600-3200-2.lp,1600,3200,237100083.191143,0,339.39,
177,4,Max,Continuous,2,N-O-100,1600-3200-3.lp,1600,3200,237494826.126148,0,314.42,
178,4,Max,Continuous,2,N-O-100,1600-3200-4.lp,1600,3200,214004791.596376,0,2218.49,
179,4,Max,Continuous,2,N-O-100,1600-3200-5.lp,1600,3200,245322989.77558,0,316.17,
180,4,Max,Continuous,2,N-O-100,2000-1000.0-1.lp,2000,1000,1633038123.787763,0,224.45,
181,4,Max,Continuous,2,N-O-100,2000-1000.0-2.lp,2000,1000,1543884892.4217,0,245.87,
182,4,Max,Continuous,2,N-O-100,2000-1000.0-3.lp,2000,1000,1526771314.363775,0,87.41,
183,4,Max,Continuous,2,N-O-100,2000-1000.0-4.lp,2000,1000,1664635158.532579,0,333.33,
184,4,Max,Continuous,2,N-O-100,2000-1000.0-5.lp,2000,1000,1653439299.764489,0,155.28,
185,4,Max,Continuous,2,N-O-100,2000-2000-1.lp,2000,2000,685896547.076437,0,647.15,
186,4,Max,Continuous,2,N-O-100,2000-2000-2.lp,2000,2000,744327439.523377,0,1101.27,
187,4,Max,Continuous,2,N-O-100,2000-2000-3.lp,2000,2000,836878819.647415,0,670.17,
188,4,Max,Continuous,2,N-O-100,2000-2000-4.lp,2000,2000,662453270.139057,0,564.48,
189,4,Max,Continuous,2,N-O-100,2000-2000-5.lp,2000,2000,691677236.111249,0,957.67,
190,4,Max,Continuous,2,N-O-100,2000-3000.0-1.lp,2000,3000,522013113.077272,0,1109.35,
191,4,Max,Continuous,2,N-O-100,2000-3000.0-2.lp,2000,3000,471430736.0784,0,705.12,
192,4,Max,Continuous,2,N-O-100,2000-3000.0-3.lp,2000,3000,442372104.956777,0,414.74,
193,4,Max,Continuous,2,N-O-100,2000-3000.0-4.lp,2000,3000,473791006.704956,0,3369.38,
194,4,Max,Continuous,2,N-O-100,2000-3000.0-5.lp,2000,3000,453969361.913821,0,2947.1,
195,4,Max,Continuous,2,N-O-100,2000-4000-1.lp,2000,4000,392423702.04372,0,1137.13,
196,4,Max,Continuous,2,N-O-100,2000-4000-2.lp,2000,4000,347081016.487786,0,979.29,
197,4,Max,Continuous,2,N-O-100,2000-4000-3.lp,2000,4000,349460750.517414,0,555.4,
198,4,Max,Continuous,2,N-O-100,2000-4000-4.lp,2000,4000,351981809.039269,-2.1333239868348e-09,3600,
199,4,Max,Continuous,2,N-O-100,2000-4000-5.lp,2000,4000,342077036.091291,0,1160.61,
200,4,Max,Continuous,2,N-O-10000,400-200.0-1.lp,400,200,83303343.925444,0,9.34,
201,4,Max,Continuous,2,N-O-10000,400-200.0-2.lp,400,200,101574105.465353,0,14.21,
202,4,Max,Continuous,2,N-O-10000,400-200.0-3.lp,400,200,98434710.809931,0,7.58,
203,4,Max,Continuous,2,N-O-10000,400-200.0-4.lp,400,200,93255820.614297,0,16.5,
204,4,Max,Continuous,2,N-O-10000,400-200.0-5.lp,400,200,97289863.970362,0,10.31,
205,4,Max,Continuous,2,N-O-10000,400-400-1.lp,400,400,26244679.074681,0,8.96,
206,4,Max,Continuous,2,N-O-10000,400-400-2.lp,400,400,27965043.244178,0,9.53,
207,4,Max,Continuous,2,N-O-10000,400-400-3.lp,400,400,35379226.805352,0,8.61,
208,4,Max,Continuous,2,N-O-10000,400-400-4.lp,400,400,34665395.90342,0,7.62,
209,4,Max,Continuous,2,N-O-10000,400-400-5.lp,400,400,27782653.330528,0,12.88,
210,4,Max,Continuous,2,N-O-10000,400-600.0-1.lp,400,600,14164456.013822,0,11,
211,4,Max,Continuous,2,N-O-10000,400-600.0-2.lp,400,600,17125526.52427,0,8.43,
212,4,Max,Continuous,2,N-O-10000,400-600.0-3.lp,400,600,15578982.18672,0,12.5,
213,4,Max,Continuous,2,N-O-10000,400-600.0-4.lp,400,600,17892251.360246,0,9.86,
214,4,Max,Continuous,2,N-O-10000,400-600.0-5.lp,400,600,17946644.080334,0,9.5,
215,4,Max,Continuous,2,N-O-10000,400-800-1.lp,400,800,9799541.001861,0,4.83,
216,4,Max,Continuous,2,N-O-10000,400-800-2.lp,400,800,11332085.662769,0,15.33,
217,4,Max,Continuous,2,N-O-10000,400-800-3.lp,400,800,12622484.959881,0,10.07,
218,4,Max,Continuous,2,N-O-10000,400-800-4.lp,400,800,13323394.371191,0,9.69,
219,4,Max,Continuous,2,N-O-10000,400-800-5.lp,400,800,12524476.234967,0,12.83,
220,4,Max,Continuous,2,N-O-10000,800-400.0-1.lp,800,400,348836736.035633,0,17,
